species,n
Pieris rapae,10278
Danaus plexippus,7589
Colias philodice,7005
Nymphalis antiopa,4133
Vanessa atalanta,3969
Phyciodes cocyta,3722
Limenitis arthemis,3717
Coenonympha tullia,3688
Colias eurytheme,3591
Phyciodes tharos,3353
Cupido comyntas,3222
Cercyonis pegala,2722
Thymelicus lineola,2709
Papilio glaucus,2667
Papilio polyxenes,2660
Speyeria cybele,2659
Limenitis archippus,2626
Epargyreus clarus,2549
Papilio canadensis,2493
Vanessa virginiensis,2451
Vanessa cardui,2245
Junonia coenia,2070
Glaucopsyche lygdamus,2034
Celastrina neglecta,2003
Megisto cymela,1992
Celastrina lucia,1971
Euphyes vestris,1952
Ancyloxypha numitor,1875
Poanes hobomok,1850
Polygonia interrogationis,1778
Polites peckius,1724
NA NA,1633
Hylephila phyleus,1559
Papilio cresphontes,1434
Polites themistocles,1386
Polygonia comma,1366
Phoebis sennae,1335
Polites mystic,1325
Lethe anthedon,1309
Agraulis vanillae,1165
Papilio troilus,1063
Strymon melinus,1047
Erynnis juvenalis,1028
Erynnis baptisiae,904
Speyeria atlantis,878
Lethe eurydice,876
Pieris oleracea,832
Erynnis icelus,821
Aglais milberti,789
Wallengrenia egeremet,762
Abaeis nicippe,740
Euptoieta claudia,736
Lycaena phlaeas,735
Thorybes pylades,721
Boloria selene,697
Atalopedes campestris,685
Anatrytone logan,678
Carterocephalus palaemon,671
Libytheana carinenta,647
Papilio rutulus,635
Ochlodes sylvanoides,624
Polygonia faunus,621
Callophrys niphon,603
Polygonia progne,585
Urbanus proteus,569
Pyrisitia lisa,565
Erynnis horatius,550
Speyeria aphrodite,546
Battus philenor,542
Boloria bellona,526
Satyrium calanus,525
Celastrina ladon,523
Nymphalis l-album,502
Pyrgus communis,502
Danaus gilippus,488
Poanes zabulon,485
Polygonia satyrus,474
Asterocampa celtis,468
Callophrys augustinus,459
Limenitis lorquini,455
Lerema accius,443
Cupido amyntula,440
Euphydryas phaeton,439
Colias interior,424
Panoquina ocola,419
