Genus,nAll,nResearchGrade,,,,
Abaeis,"21,836","19,398",,,,
Achalarus,65,10,,,,
Adelpha,"20,801","15,442",,,,
Aglais,"96,614","95,544",,,,
Agraulis,"93,048","91,348",,,,
Amblyscirtes,"7,589","5,372",,,,
Anaea,"7,272","6,303",,,,
Anartia,"38,658","38,519",,,,
Anatrytone,"4,276","3,866",,,,
Ancyloxypha,"11,298","10,449",,,,
Anthanassa,"12,998","9,058",,,,
Anthocharis,"23,087","22,235",,,,
Ascia,"10,677","9,107",,,,
Asterocampa,"41,882","39,381",,,,
Atalopedes,"30,441","26,181",,,,
Atlides,"5,285","5,184",,,,
Atrytonopsis,"1,509","1,328",,,,
Battus,"46,789","45,567",,,,
Boloria,"23,612","21,099",,,,
Brephidium,"10,485","10,334",,,,
Callophrys,"31,794","30,331",,,,
Calpodes,"3,458","2,255",,,,
Calycopis,"18,520","14,122",,,,
Carterocephalus,"5,474","5,338",,,,
Celastrina,"52,578","39,032",,,,
Cercyonis,"17,206","15,384",,,,
Chlosyne,"46,160","38,727",,,,
Coenonympha,"44,429","43,612",,,,
Colias,"80,495","56,214",,,,
Copaeodes,"5,795","4,141",,,,
Cupido,"42,447","38,939",,,,
Cyllopsis,"3,289","2,723",,,,
Danaus,"300,067","297,690",,,,
Dryas,"10,182","10,048",,,,
Dymasia,"1,347",998,,,,
Eantis,"3,664","3,098",,,,
Echinargus,"10,102","9,522",,,,
Epargyreus,"42,572","41,418",,,,
Erebia,"22,144","18,503",,,,
Erynnis,"66,620","41,979",,,,
Euchloe,"4,832","4,153",,,,
Euphydryas,"26,776","20,597",,,,
Euphyes,"15,618","11,846",,,,
Euptoieta,"35,031","33,875",,,,
Eurema,"30,080","20,239",,,,
Eurytides,"11,855","11,718",,,,
Feniseca,"1,734","1,722",,,,
Glaucopsyche,"13,382","12,279",,,,
Heliconius,"31,228","26,058",,,,
Heliopetes,"8,753","6,497",,,,
Hemiargus,"14,401","13,145",,,,
Hesperia,"9,775","7,025",,,,
Hylephila,"50,024","42,757",,,,
Junonia,"122,896","114,933",,,,
Kricogonia,"3,540","3,234",,,,
Leptotes,"27,378","24,304",,,,
Lerema,"15,330","12,427",,,,
Lerodea,"6,849","5,058",,,,
Lethe,"26,278","25,109",,,,
Libytheana,"21,685","21,579",,,,
Limenitis,"96,176","93,662",,,,
Lycaena,"56,726","52,381",,,,
Megisto,"13,629","13,532",,,,
Nastra,"1,895","1,316",,,,
Nathalis,"13,921","13,791",,,,
Neophasia,"1,681","1,649",,,,
Nymphalis,"63,972","63,589",,,,
Ochlodes,"27,542","23,839",,,,
Panoquina,"9,438","7,665",,,,
Papilio,"328,054","304,591",,,,
Parnassius,"9,366","9,233",,,,
Parrhasius,"2,124","1,881",,,,
Phoebis,"38,908","30,617",,,,
Pholisora,"3,845","3,419",,,,
Phyciodes,"101,732","77,288",,,,
Pieris,"169,782","144,590",,,,
Plebejus,"19,990","11,633",,,,
Poanes,"4,225","3,601",,,,
Polites,"44,442","34,245",,,,
Polygonia,"94,494","85,284",,,,
Pompeius,"2,407",729,,,,
Pontia,"28,138","24,621",,,,
Pyrgus,"10,944","6,687",,,,
Pyrisitia,"16,966","14,025",,,,
Satyrium,"27,436","26,019",,,,
Speyeria,"50,818","42,112",,,,
Strymon,"50,350","47,355",,,,
Thorybes,"19,369","14,254",,,,
Thymelicus,"26,581","18,524",,,,
Urbanus,"14,979","12,264",,,,
Vanessa,"247,911","245,106",,,,
Wallengrenia,"7,459","5,018",,,,
Zerene,"8,154","7,973",,,,
Dione,"75,762","73,412",,,,
Tharsalea,"14,141","12,428",,,,
Heraclides,"42,311","36,075",,,,
Icaricia,"20,113","15,114",,,,
Lon,"40,165","35,593",,,,
Vernia,"4,689","3,330",,,,
Burnsius,"43,081","24,491",,,,
Argynnis,"94,659","78,429",,,,
Spicauda,"8,932","3,481",,,,
