species,family,inatVerbatim,genus,inat_genus
Danaus plexippus,Nymphalidae,Danaus plexippus,Danaus,Danaus
Eurytides marcellus,Papilionidae,Eurytides marcellus,Eurytides,Eurytides
Asterocampa clyton,Nymphalidae,Asterocampa clyton,Asterocampa,Asterocampa
Polygonia interrogationis,Nymphalidae,Polygonia interrogationis,Polygonia,Polygonia
Plebejus melissa,Lycaenidae,Plebejus melissa,Plebejus,Plebejus
Junonia coenia,Nymphalidae,Junonia coenia,Junonia,Junonia
Limenitis arthemis,Nymphalidae,Limenitis arthemis astyanax,Limenitis,Limenitis
Callophrys irus,Lycaenidae,Callophrys irus,Callophrys,Callophrys
Lethe anthedon,Nymphalidae,Lethe anthedon,Lethe,Lethe
Papilio eurymedon,Papilionidae,Papilio eurymedon,Papilio,Papilio
Euptoieta claudia,Nymphalidae,Euptoieta claudia,Euptoieta,Euptoieta
Erynnis tristis,Hesperiidae,Erynnis tristis,Erynnis,Erynnis
Zerene cesonia,Pieridae,Zerene cesonia,Zerene,Zerene
Strymon melinus,Lycaenidae,Strymon melinus,Strymon,Strymon
Hylephila phyleus,Hesperiidae,Hylephila phyleus,Hylephila,Hylephila
Phoebis agarithe,Pieridae,Phoebis agarithe,Phoebis,Phoebis
Cupido comyntas,Lycaenidae,Cupido comyntas,Cupido,Cupido
Epargyreus clarus,Hesperiidae,Epargyreus clarus,Epargyreus,Epargyreus
Eurema daira,Pieridae,Eurema daira,Eurema,Eurema
Coenonympha tullia,Nymphalidae,Coenonympha california,Coenonympha,Coenonympha
Pholisora catullus,Hesperiidae,Pholisora catullus,Pholisora,Pholisora
Libytheana carinenta,Nymphalidae,Libytheana carinenta,Libytheana,Libytheana
Agraulis vanillae,Nymphalidae,Dione vanillae,Agraulis,Dione
Nathalis iole,Pieridae,Nathalis iole,Nathalis,Nathalis
Parnassius smintheus,Papilionidae,Parnassius smintheus,Parnassius,Parnassius
Vanessa atalanta,Nymphalidae,Vanessa atalanta,Vanessa,Vanessa
Polygonia comma,Nymphalidae,Polygonia comma,Polygonia,Polygonia
Copaeodes minima,Hesperiidae,Copaeodes minima,Copaeodes,Copaeodes
Lycaena phlaeas,Lycaenidae,Lycaena hypophlaeas,Lycaena,Lycaena
Papilio cresphontes,Papilionidae,Heraclides cresphontes,Papilio,Heraclides
Phyciodes tharos,Nymphalidae,Phyciodes tharos,Phyciodes,Phyciodes
Lerema accius,Hesperiidae,Lerema accius,Lerema,Lerema
Papilio glaucus,Papilionidae,Papilio glaucus,Papilio,Papilio
Celastrina neglecta,Lycaenidae,Celastrina neglecta,Celastrina,Celastrina
Limenitis archippus,Nymphalidae,Limenitis archippus,Limenitis,Limenitis
Battus philenor,Papilionidae,Battus philenor,Battus,Battus
Coenonympha tullia,Nymphalidae,Coenonympha california california,Coenonympha,Coenonympha
Euphydryas phaeton,Nymphalidae,Euphydryas phaeton,Euphydryas,Euphydryas
Euphyes vestris,Hesperiidae,Euphyes vestris,Euphyes,Euphyes
Limenitis lorquini,Nymphalidae,Limenitis lorquini,Limenitis,Limenitis
Euphydryas editha,Nymphalidae,Euphydryas editha,Euphydryas,Euphydryas
Nymphalis l-album,Nymphalidae,Nymphalis l-album,Nymphalis,Nymphalis
Colias eurytheme,Pieridae,Colias eurytheme,Colias,Colias
Vanessa virginiensis,Nymphalidae,Vanessa virginiensis,Vanessa,Vanessa
Limenitis arthemis,Nymphalidae,Limenitis arthemis,Limenitis,Limenitis
Danaus gilippus,Nymphalidae,Danaus gilippus,Danaus,Danaus
Speyeria cybele,Nymphalidae,Argynnis cybele,Speyeria,Argynnis
Pyrisitia lisa,Pieridae,Pyrisitia lisa,Pyrisitia,Pyrisitia
Atalopedes campestris,Hesperiidae,Atalopedes campestris,Atalopedes,Atalopedes
Pontia protodice,Pieridae,Pontia protodice,Pontia,Pontia
Anthanassa texana,Nymphalidae,Anthanassa texana,Anthanassa,Anthanassa
Asterocampa celtis,Nymphalidae,Asterocampa celtis,Asterocampa,Asterocampa
Thymelicus lineola,Hesperiidae,Thymelicus lineola,Thymelicus,Thymelicus
Mestra amymone,Nymphalidae,Mestra amymone,Mestra,Mestra
Eumaeus atala,Lycaenidae,Eumaeus atala,Eumaeus,Eumaeus
Poanes zabulon,Hesperiidae,Lon zabulon,Poanes,Lon
Callophrys gryneus,Lycaenidae,Callophrys gryneus,Callophrys,Callophrys
Poanes hobomok,Hesperiidae,Lon hobomok,Poanes,Lon
Boloria chariclea,Nymphalidae,Boloria chariclea,Boloria,Boloria
Phyciodes phaon,Nymphalidae,Phyciodes phaon,Phyciodes,Phyciodes
Nymphalis antiopa,Nymphalidae,Nymphalis antiopa,Nymphalis,Nymphalis
Papilio multicaudata,Papilionidae,Papilio multicaudata,Papilio,Papilio
Colias philodice,Pieridae,Colias philodice,Colias,Colias
Pyrgus communis,Hesperiidae,Burnsius communis,Pyrgus,Burnsius
Boloria epithore,Nymphalidae,Boloria epithore,Boloria,Boloria
Abaeis nicippe,Pieridae,Abaeis nicippe,Abaeis,Abaeis
Ascia monuste,Pieridae,Ascia monuste,Ascia,Ascia
Pieris oleracea,Pieridae,Pieris oleracea,Pieris,Pieris
Papilio troilus,Papilionidae,Papilio troilus,Papilio,Papilio
Anthocharis midea,Pieridae,Anthocharis midea,Anthocharis,Anthocharis
