species,common_name,difference,diff_SE,k1,k2,k3,inat_medPred,inat_SE,inat_medResp,inat_GAM_pval,ebud_medPred,ebud_SE,ebud_medResp,ebud_GAM_pval,kvec_at_max,region
Abaeis nicippe,Abaeis_nicippe,-0.6184441772224736,0.08939700837873785,6,6,8,-4.114425635476241,0.05494480236968675,0.01607276635978011,0.0075,-3.433718060581402,0.07347952020217594,0.0312581489391793,0,TRUE,east
Abaeis nicippe,Abaeis_nicippe,-0.6638411053025746,0.20738596185527347,3,3,8,-3.7242830987197806,0.1681614066880143,0.02356183694408702,0.0175,-2.9443454534641686,0.0890977402467805,0.05000444265783089,0,TRUE,west
Achalarus lyciades,Achalarus_lyciades,-0.4871396682078035,0.23268807814671844,3,3,7,-4.792209406592335,0.13780867224806548,0.00822588564011777,0.0125,-4.356389330039272,0.17650208610407758,0.01266222153811527,0,TRUE,east
Adelpha californica,Adelpha_californica,-0.16836927999748175,0.17312656116398742,3,3,7,-3.480675936603796,0.1350965719743391,0.02986708828485852,0.005,-3.2881811808020514,0.14311139515099808,0.03597887731712622,0.0025,TRUE,west
Aglais milberti,Aglais_milberti,0.2839148614309015,0.1316299229677595,5,5,9,-3.889785661001449,0.08892469278016205,0.02003991785837993,0.2575,-4.242879188278411,0.10463361937422216,0.01416270550821885,0,TRUE,east
Aglais milberti,Aglais_milberti,0.17129140770398166,0.16053761073491088,4,4,9,-3.0379112656184826,0.12021774597990036,0.04574225737991047,0.16,-3.2407877118804707,0.09561745430648227,0.03765933255880102,0.015,TRUE,west
Agraulis vanillae,Agraulis_vanillae,0.3803481779606497,0.08038203902558828,6,6,10,-2.2893292335962174,0.0610963606921918,0.0920105735267753,0,-2.709223835764627,0.0689659829292259,0.06243126764355916,0,TRUE,east
Agraulis vanillae,Agraulis_vanillae,0.13844833757646424,0.205954772586303,3,3,8,-3.2098501696933437,0.10501747925744956,0.03879672147640677,0.0525,-3.383692463382469,0.15768585577789798,0.0328090210281655,0.0675,TRUE,west
Amblyscirtes hegon,Amblyscirtes_hegon,0.5846861686090112,0.23132346096482517,3,3,6,-4.299492104753382,0.18512904970731267,0.01339362761807831,0.4675,-4.824990171247832,0.1298816876657129,0.00796271894106631,0.6,TRUE,east
Amblyscirtes vialis,Amblyscirtes_vialis,0.12129588645120636,0.21762427501927156,4,4,6,-4.374418600613102,0.2009217375519372,0.01243879077822079,0.06,-4.4971912677066195,0.13722345586950327,0.01101750491833819,0.0225,TRUE,east
Anaea andria,Anaea_andria,-0.6580410405651416,0.2299445758877632,4,4,6,-4.544718525373545,0.13204636863541516,0.01051149710485024,0.015,-3.744236103740915,0.22024520877498183,0.02310712237889526,0,TRUE,east
Anartia jatrophae,Anartia_jatrophae,0.16235784106303386,0.1235345526563434,4,4,9,-2.4062540597883,0.05457721537579515,0.08269703470614154,0.0025,-2.6312667352931713,0.12882388441697012,0.06715305430558341,0,TRUE,east
Anatrytone logan,Anatrytone_logan,0.1966365326247577,0.09525577230001071,7,7,8,-4.311630115412851,0.07229515146203137,0.0132341767953651,0.005,-4.455981140725296,0.06370617384843424,0.01147570372105752,0,TRUE,east
Ancyloxypha numitor,Ancyloxypha_numitor,-0.3392334093634879,0.05944490051444837,10,10,9,-4.1329636840535775,0.04706340930318772,0.01578221253967813,0.015,-3.803019143953752,0.03806352739589185,0.02181674695524766,0,TRUE,east
Anthanassa texana,Anthanassa_texana,0.09844037245933768,0.18824233840435428,3,3,8,-4.405074315233566,0.09931419478882214,0.01206778817646637,0.05,-4.567729442985721,0.1603641678019555,0.01027483651147294,0.075,TRUE,east
Anthanassa texana,Anthanassa_texana,0.18469471133270532,0.2327959091696537,3,3,6,-3.177878714019119,0.20333186173364645,0.04000672500873282,0.1775,-3.3625431656180576,0.11392270711626866,0.03348681486007802,0.29,TRUE,west
Anthocharis midea,Anthocharis_midea,-0.88266290576792406,0.1736349075300306,4,4,8,-4.947957900569744,0.10703683278262575,0.0070478637810293,0.13,-3.782304923893836,0.1406096954168722,0.02226321084320541,0,TRUE,east
Anthocharis sara,Anthocharis_sara,-0.7546433043910854,0.24603835783512257,4,4,8,-4.68994185745473,0.15492845932615554,0.00910358368021637,0.165,-3.5600131814501026,0.10776942410695509,0.02765206790528574,0.04,TRUE,west
Ascia monuste,Ascia_monuste,-0.04129503036695592,0.17965628486935667,3,3,10,-3.2489690403872813,0.09380466929049328,0.0373639511010392,0.0025,-3.300743719692429,0.16970466667445874,0.03554568412506517,0,TRUE,east
Asterocampa celtis,Asterocampa_celtis,0.30467567373706594,0.08864138646179956,7,7,9,-3.6756684153321624,0.05447210849482739,0.02470658841108681,0,-4.024035989838437,0.07481487340619139,0.01756655156617691,0,TRUE,east
Asterocampa clyton,Asterocampa_clyton,0.3691865983313205,0.12369779554070894,5,5,10,-4.106085659754864,0.06258776695586703,0.01620519203792263,0,-4.491228834655873,0.10299104724143496,0.01108266207570739,0,TRUE,east
